Date,Price
Feb 18,"9,810.00"
Jan 18,"10,451.50"
Dec 17,"10,043.90"
Nov 17,"10,211.00"
Oct 17,"10,523.50"
Sep 17,"10,381.50"
Aug 17,"10,299.50"
Jul 17,"10,502.20"
Jun 17,"10,444.50"
May 17,"10,880.00"
Apr 17,"10,715.80"
Mar 17,"10,462.90"
Feb 17,"9,555.50"
Jan 17,"9,315.20"
Dec 16,"9,352.10"
Nov 16,"8,688.20"
Oct 16,"9,143.30"
Sep 16,"8,779.40"
Aug 16,"8,716.80"
Jul 16,"8,587.20"
Jun 16,"8,163.30"
May 16,"9,034.00"
Apr 16,"9,025.70"
Mar 16,"8,723.10"
Feb 16,"8,461.40"
Jan 16,"8,815.80"
Dec 15,"9,544.20"
Nov 15,"10,386.90"
Oct 15,"10,360.70"
Sep 15,"9,559.90"
Aug 15,"10,259.00"
Jul 15,"11,180.70"
Jun 15,"10,769.50"
May 15,"11,217.60"
Apr 15,"11,385.00"
Mar 15,"11,521.10"
Feb 15,"11,178.30"
Jan 15,"10,403.30"
Dec 14,"10,279.50"
Nov 14,"10,770.70"
Oct 14,"10,477.80"
Sep 14,"10,825.50"
Aug 14,"10,728.80"
Jul 14,"10,707.20"
Jun 14,"10,923.50"
May 14,"10,798.70"
Apr 14,"10,459.00"
Mar 14,"10,340.50"
Feb 14,"10,114.20"
Jan 14,"9,920.20"
Dec 13,"9,916.70"
Nov 13,"9,837.60"
Oct 13,"9,907.90"
Sep 13,"9,186.10"
Aug 13,"8,290.50"
Jul 13,"8,433.40"
Jun 13,"7,762.70"
May 13,"8,320.60"
Apr 13,"8,419.00"
Mar 13,"7,920.00"
Feb 13,"8,230.30"
Jan 13,"8,362.30"
Dec 12,"8,167.50"
Nov 12,"7,934.60"
Oct 12,"7,842.90"
Sep 12,"7,708.50"
Aug 12,"7,420.50"
Jul 12,"6,738.10"
Jun 12,"7,102.20"
May 12,"6,089.80"
Apr 12,"7,011.00"
Mar 12,"8,008.00"
Feb 12,"8,465.90"
Jan 12,"8,509.20"
Dec 11,"8,566.30"
Nov 11,"8,449.50"
Oct 11,"8,954.90"
Sep 11,"8,546.60"
Aug 11,"8,718.60"
Jul 11,"9,630.70"
Jun 11,"10,359.90"
May 11,"10,476.00"
Apr 11,"10,878.90"
Mar 11,"10,576.50"
Feb 11,"10,850.80"
Jan 11,"10,806.00"
Dec 10,"9,859.10"
Nov 10,"9,267.20"
Oct 10,"10,812.90"
Sep 10,"10,514.50"
Aug 10,"10,187.00"
Jul 10,"10,499.80"
Jun 10,"9,263.40"
May 10,"9,359.40"
Apr 10,"10,492.20"
Mar 10,"10,871.30"
Feb 10,"10,333.60"
Jan 10,"10,947.70"
Dec 09,"11,940.00"
Nov 09,"11,644.70"
Oct 09,"11,414.80"
Sep 09,"11,756.10"
Aug 09,"11,365.10"
Jul 09,"10,855.10"
Jun 09,"9,787.80"
May 09,"9,424.30"
Apr 09,"9,038.00"
Mar 09,"7,815.00"
Feb 09,"7,620.90"
Jan 09,"8,450.40"
Dec 08,"9,195.80"
Nov 08,"8,910.60"
Oct 08,"9,116.00"
Sep 08,"10,987.50"
Aug 08,"11,707.30"
Jul 08,"11,881.30"
Jun 08,"12,046.20"
May 08,"13,600.90"
Apr 08,"13,798.30"
Mar 08,"13,269.00"
Feb 08,"13,170.40"
Jan 08,"13,229.00"
Dec 07,"15,182.30"
Nov 07,"15,759.90"
Oct 07,"15,890.50"
Sep 07,"14,576.50"
Aug 07,"14,479.80"
Jul 07,"14,802.40"
Jun 07,"14,892.00"
May 07,"15,329.40"
Apr 07,"14,374.60"
Mar 07,"14,641.70"
Feb 07,"14,248.40"
Jan 07,"14,553.20"
Dec 06,"14,146.50"
Nov 06,"13,849.30"
Oct 06,"13,753.00"
Sep 06,"12,934.70"
Aug 06,"12,144.70"
Jul 06,"11,818.00"
Jun 06,"11,548.10"
May 06,"11,340.50"
Apr 06,"11,892.50"
Mar 06,"11,854.30"
Feb 06,"11,740.70"
Jan 06,"11,104.30"
Dec 05,"10,733.90"
Nov 05,"10,557.80"
Oct 05,"10,493.80"
Sep 05,"10,813.90"
Aug 05,"10,008.90"
Jul 05,"10,115.60"
Jun 05,"9,783.20"
May 05,"9,427.10"
Apr 05,"9,001.60"
Mar 05,"9,258.80"
Feb 05,"9,391.00"
Jan 05,"9,223.90"
